date,state,customers_elec,price_elec,revenue_elec,sales_elec
2001-05,PA,,8.0,823.26466,10296.97273
2001-05,OR,,5.15,193.43241,3756.51953
2001-05,OK,,6.39,238.72849,3735.21989
2001-05,OH,,6.9,840.81931,12190.94107
2001-05,ND,,5.58,40.87191,732.34724
2001-05,NC,,6.36,570.8672,8972.34998
2001-05,NY,,10.97,1208.33433,11019.82183
2001-05,NM,,7.35,109.3765,1487.88009
2001-05,NJ,,9.22,510.90295,5540.51311
2001-05,NH,,10.39,84.12018,809.93177
2001-05,WY,,4.4,44.839,1020.14633
2001-05,WI,,5.98,310.71248,5197.73051
2001-05,WV,,5.04,106.27875,2108.17448
2001-05,WA,,5.22,341.61002,6549.86084
2001-05,VA,,6.17,445.58375,7223.5769
2001-05,VT,,10.56,45.58822,431.8434
2001-05,UT,,5.42,102.60095,1891.86236
2001-05,TX,,7.34,1799.84359,24516.03339
2001-05,NV,,7.75,191.03046,2463.42226
2001-05,NE,,5.21,96.67018,1854.17914
2001-05,MT,,7.34,61.49421,837.71784
2001-05,MO,,6.22,345.78979,5557.42671
2001-05,MS,,6.44,221.57858,3439.31498
2001-05,MN,,5.96,282.77671,4744.50661
2001-05,MI,,6.81,556.61449,8179.23322
2001-05,MA,,11.45,469.15502,4097.92992
2001-05,MD,,6.71,316.54225,4716.55161
2001-05,ME,,9.21,94.07954,1021.4839
2001-05,LA,,7.29,440.52814,6039.13749
2001-05,KY,,4.22,259.17294,6141.43608
2001-05,KS,,6.22,173.59135,2789.57491
2001-06,PA,,8.5,938.22233,11038.01813
2001-06,WA,,5.11,301.34831,5893.61141
2001-06,VA,,6.47,534.94349,8263.63288
2001-06,VT,,10.79,48.93397,453.64415
2001-06,UT,,5.43,107.44164,1978.07067
2001-06,TX,,7.9,2253.11098,28531.89959
2001-06,TN,,5.61,436.46148,7780.40393
2001-06,SD,,6.79,45.09654,664.50832
2001-06,SC,,5.77,371.93398,6443.10973
2001-06,WY,,4.37,45.39365,1038.01908
2001-06,WI,,6.25,335.73375,5372.16377
2001-06,WV,,5.12,108.37223,2116.94231
2001-06,MT,,6.77,62.6911,925.40855
2001-06,MO,,7.07,431.82383,6109.1837
2001-06,MS,,6.61,258.11396,3902.07087
2001-06,MN,,6.43,326.8877,5087.15032
2001-06,MI,,7.09,632.79352,8931.06373
2001-06,MA,,12.11,550.00986,4541.66346
2001-06,MD,,7.47,389.60568,5214.57505
2001-06,ME,,9.9,103.43921,1044.87835
2001-06,LA,,7.73,525.1427,6795.06817
2001-06,KY,,4.66,281.90756,6050.2276
2001-06,KS,,6.46,207.18471,3208.58548
2001-06,IA,,6.61,217.20234,3283.8627
2001-06,IN,,5.45,446.05346,8178.04452
2001-06,IL,,7.39,858.57869,11618.08845
2001-06,ID,,4.92,93.17276,1893.4476
2001-06,HI,,14.0,113.03298,807.46337
2001-06,GA,,6.82,700.50815,10265.0551
2001-06,FL,,7.26,1311.42666,18068.24427
2001-06,OR,,5.28,183.62443,3477.86034
2001-06,OK,,6.99,308.62326,4415.98253
2001-06,OH,,6.9,880.43519,12754.21021
2001-06,ND,,5.89,42.18276,715.65953
2001-06,NC,,6.54,663.38321,10151.13785
2001-06,NY,,11.46,1397.89895,12201.51381
2001-06,NM,,7.32,118.41963,1616.79509
2001-06,NJ,,9.82,636.67865,6480.79179
2001-06,NH,,10.66,92.60493,868.61934
