date,state,trips_pop_at_home,trips_pop_not_at_home,trips_n_total,trips_n_lt_1,trips_n_1_3,trips_n_3_5,trips_n_5_10,trips_n_10_25,trips_n_25_50,Number of Trips 50-100,trips_n_100_250,trips_n_250_500,trips_n_gt_500
2021-09,NC,40293.11782178218,167391.71386138615,770422.9788778878,197792.10528052805,187184.32442244224,95950.10726072607,127376.57689768977,109853.53795379538,33099.691089108914,11607.856105610561,6138.215511551155,972.1310231023102,448.43333333333334
2021-09,ND,5785.332704402515,22957.572955974843,100021.25220125786,26476.774842767296,25824.422012578616,12713.992452830189,14538.196855345912,11200.153459119498,4774.291823899371,3120.095597484277,1091.348427672956,201.09811320754716,80.87861635220126
2021-09,NE,8872.580596451491,34904.45828614572,163299.55417138542,44916.97093242733,42224.26651566629,20478.77161192903,23990.58248395621,19505.817667044168,7040.287655719139,3394.4628161570404,1419.9962249905625,186.85352963382408,141.54473386183466
2021-09,NH,47706.09090909091,199514.0909090909,1000182.2242424242,241625.3212121212,254776.80606060606,118223.65454545454,138074.69696969696,156597.3303030303,61232.00303030303,24389.039393939394,4551.081818181819,310.6030303030303,401.6878787878788
2021-09,NJ,186960.15757575756,620511.6606060606,3117059.4484848483,902571.0,753119.9666666667,345701.1393939394,452363.2136363636,446136.62575757573,144084.71212121213,53492.85303030303,15054.366666666667,2678.2469696969697,1857.3242424242424
2021-09,NM,26030.37373737374,101031.23232323233,525407.0626262627,140679.45656565655,134509.9303030303,67770.31717171716,79509.91616161616,64870.35151515152,19745.648484848483,10824.18888888889,5668.09393939394,1437.5878787878787,391.5717171717172
2021-09,NV,76825.91111111111,265413.64444444445,1310024.7333333334,409810.7148148148,280702.39629629627,156499.34444444443,235564.16296296296,182031.04814814814,24943.037037037036,9436.846296296297,7223.318518518518,2322.6462962962964,1491.2185185185185
2021-09,NY,153339.00634920635,464234.3587301587,2802956.619047619,820122.5037037038,682213.0185185185,337355.8222222222,431166.76296296297,387852.09365079366,93909.96402116402,32516.06931216931,14006.481481481482,2106.827513227513,1707.0756613756614
2021-09,OH,55615.3606741573,207061.04382022473,1022567.5449438202,298266.84419475653,252272.1265917603,120943.91610486891,151567.27715355804,140037.01872659175,38130.71235955056,14021.441573033708,5658.195131086142,1012.9835205992509,657.0295880149813
2021-09,OK,22232.102564102563,79228.69230769231,342138.20726495725,92910.3358974359,83781.52393162393,41495.98034188034,49493.05128205128,48643.81923076923,15534.176923076922,6448.583333333333,3100.4508547008545,492.10897435897436,238.17649572649572
2021-09,OR,52197.78378378379,175788.0,861140.7,250133.85585585586,214514.23243243244,98359.89819819819,122953.42702702702,117051.34504504505,35969.72252252252,14125.054954954954,6239.83063063063,957.3387387387387,835.9945945945946
2021-09,PA,78946.51029411764,297582.5779411765,1426766.8392156863,399586.4583333333,353403.04215686274,170794.59019607844,215958.3274509804,191820.2950980392,57258.310784313726,25338.43480392157,10569.140196078431,1374.5696078431372,663.6705882352941
2021-09,RI,71744.78888888888,281375.5444444445,1367970.05,388846.63333333336,363642.05555555556,166208.05,187209.66666666666,177099.61666666667,56246.85555555556,21956.783333333333,5275.438888888889,798.5388888888889,686.4111111111112
2021-09,SC,42023.99432624113,177070.21843971632,776826.0695035461,197186.71985815602,186186.79290780143,96869.14113475177,127149.86666666667,116451.26028368794,34895.15460992908,10477.404964539008,6143.37304964539,1033.3482269503545,433.0078014184397
2021-09,SD,5146.453731343284,21261.2776119403,96010.2815920398,26423.82288557214,24390.721393034826,10941.708457711442,13192.062686567164,11917.379104477612,5090.540796019901,2603.0517412935324,1210.004975124378,162.65223880597014,78.33731343283583
2021-09,TN,28495.197569444445,113779.26076388889,527244.6920138889,136800.8267361111,125362.16284722222,65626.50868055556,82351.18958333334,79255.66215277778,25265.64861111111,7323.868055555556,3882.5739583333334,970.1190972222222,406.1322916666667
2021-09,TX,47535.30640446452,183620.9331650279,763313.7988307201,210053.97076800425,180664.79869784747,90551.48232792984,114527.34174860484,111063.47541854903,36715.28780228541,11568.3344406059,5889.303747010364,1407.1311453627425,872.6727345203295
2021-09,UT,47244.171111111114,166486.36222222223,819252.6322222222,226380.80555555556,198889.63666666666,94970.02,120493.18111111112,113346.10777777778,43561.403333333335,12791.82888888889,5993.6611111111115,1657.87,1168.1177777777777
2021-09,VA,26019.780099502488,101376.02587064677,491616.0315920398,137226.21417910449,116207.41492537313,59223.517412935325,75621.23756218905,69145.7251243781,21443.14154228856,8131.2305970149255,3586.981094527363,698.5808457711443,331.98830845771147
2021-09,VT,15773.604444444445,67424.92888888888,338433.9266666667,77005.1288888889,84361.89555555556,39459.56444444445,49407.72666666667,57065.37333333334,23060.431111111113,5936.102222222222,1738.1,237.3088888888889,162.29555555555555
2021-09,WA,85950.69,294793.96,1387041.0583333333,389235.955,326208.25333333336,146496.045,207539.68833333332,216683.60416666666,68696.41333333333,20355.976666666666,8778.131666666666,1102.74,1944.2508333333333
2021-09,WI,30480.279452054794,129038.4602739726,637550.896803653,177702.46986301368,155175.61232876714,74176.4812785388,89832.68904109589,87928.84292237443,32448.34703196347,12752.1,6260.609132420092,918.0502283105022,355.6949771689498
2021-09,WV,13247.438095238096,50757.811904761904,215536.0267857143,51452.947023809524,51908.713690476194,24990.28869047619,33809.502380952385,31637.399404761905,13136.568452380952,6052.685714285714,2191.698214285714,284.7797619047619,71.44345238095238
2021-09,WY,10195.820833333333,38034.09583333333,191186.45,52753.16388888889,54307.231944444444,24797.9875,21381.82222222222,18376.183333333334,11810.548611111111,4804.065277777778,2505.3680555555557,304.39444444444445,145.68472222222223
2021-10,AK,12635.183796856107,42066.09552599758,197524.73276904473,54612.87182587666,51842.6045949214,23737.492140266022,31240.582829504234,19555.796856106408,10050.752116082225,4861.440145102782,767.6795646916565,360.677146311971,494.8355501813785
2021-10,AL,28503.418880455407,115707.90464895636,482398.07352941175,113600.99383301708,109126.60910815939,61694.119070208726,81141.07637571158,76540.97011385199,24593.954933586338,9882.792694497153,4712.631404174573,879.0792220113852,225.84677419354838
2021-10,AR,15271.829371816639,64144.06536502547,258401.49151103565,66443.15747028863,62906.35696095076,31430.369694397283,39230.80517826825,35859.809847198645,12591.468166383702,5954.085314091681,3329.02376910017,511.26103565365025,145.15407470288625
2021-10,AZ,202961.45362903227,706878.1713709678,3274234.120967742,986755.2258064516,716044.4112903225,332721.3044354839,477839.7762096774,518220.35282258067,155722.12096774194,49976.98185483871,24707.697580645163,7493.915322580645,4752.334677419355
2021-10,CA,329212.7299670692,1015326.1959385291,4242766.049945115,1212975.6048298574,1023100.6844127333,489522.41547749727,601556.7014270033,579826.5082327113,214516.7552140505,79212.49615806805,30087.14599341383,7448.557628979143,4519.180570801317
