date,state,consumption-for-eg,consumption-for-eg-btu,consumption-uto,consumption-uto-btu,generation,total-consumption,total-consumption-btu
2001-06,OK,,54.108,,2.377,5037.572,,56.485
2001-06,PA,,169.266,,4.672,16284.096,,174.327
2001-06,MI,,105.891,,3.929,9812.861,,109.821
2001-06,MN,,43.623,,3.364,4115.424,,46.99
2001-06,AR,,44.529,,1.29,4132.866,,45.819
2001-06,NH,,15.037,,0.275,1377.186,,15.311
2001-06,GA,,112.524,,11.266,10686.69,,123.791
2001-06,IN,,111.048,,6.689,10592.846,,117.736
2001-06,ME,,15.008,,6.633,1603.056,,21.639
2001-06,NV,,31.207,,0.256,2887.826,,31.463
2001-06,IL,,166.52,,4.757,15410.728,,171.268
2001-06,KS,,42.704,,0.171,3898.452,,42.875
2001-06,FL,,183.342,,8.219,18087.619,,191.557
2001-06,WY,,40.082,,0.83,3686.041,,40.91
2001-06,MS,,46.823,,2.855,4529.124,,49.68
2001-06,TX,,343.331,,31.278,34619.506,,374.615
2001-06,IA,,36.644,,3.194,3294.522,,39.837
2001-06,CO,,42.754,,1.11,3907.473,,43.86
2001-06,NC,,107.634,,5.861,10468.727,,113.492
2001-06,OH,,123.056,,4.764,11904.709,,127.823
2001-06,NY,,137.083,,4.836,13037.61,,141.914
2001-06,MT,,19.3,,0.676,1756.014,,19.977
2001-06,DE,,5.67,,0.926,559.124,,6.593
2001-06,TN,,86.004,,6.704,7814.104,,92.71
2001-06,MD,,45.477,,0.696,4425.067,,46.174
2001-06,OR,,35.713,,0.731,3634.471,,36.447
2001-06,WV,,72.629,,1.411,7238.49,,74.038
2001-06,VT,,5.258,,0.006,497.665,,5.264
2001-06,NJ,,58.544,,2.888,5540.753,,61.44
2001-06,WA,,65.776,,3.975,6434.437,,69.752
2001-07,AZ,,87.265,,0.262,8443.619,,87.527
2001-07,IL,,184.554,,4.646,17030.114,,189.202
2001-07,FL,,188.653,,8.596,18436.001,,197.243
2001-07,RI,,5.88,,0.145,695.495,,6.024
