state,value,date
CA,2.629032258064516,2021-10-01
CA,1.7032258064516128,2022-10-01
CA,1.6,2019-11-01
CA,2.393333333333333,2020-11-01
CA,2.216666666666667,2021-11-01
CA,2.39,2022-11-01
CA,2.574193548387097,2019-12-01
CA,1.9774193548387096,2020-12-01
CA,2.916129032258065,2021-12-01
CA,2.679310344827586,2022-12-01
CO,1.4451612903225806,2019-01-01
CO,1.4000000000000001,2019-02-01
CO,1.135483870967742,2019-03-01
CO,1.2133333333333334,2019-04-01
CO,1.0451612903225806,2019-05-01
CO,0.9366666666666668,2019-06-01
CO,0.8354838709677419,2019-07-01
CO,0.8548387096774194,2019-08-01
CO,0.8705882352941177,2019-09-01
CT,3.517741935483871,2019-01-01
CT,2.946774193548387,2020-01-01
CT,3.3419354838709676,2021-01-01
CT,3.374193548387097,2022-01-01
CT,3.3910714285714287,2019-02-01
CT,2.8448275862068964,2020-02-01
CT,3.375,2021-02-01
CT,3.517857142857143,2022-02-01
CT,3.303225806451613,2019-03-01
CT,3.603225806451613,2020-03-01
CT,3.7467741935483874,2021-03-01
CT,3.454838709677419,2022-03-01
CT,3.5483333333333333,2019-04-01
CT,4.073333333333333,2020-04-01
CT,3.4733333333333336,2021-04-01
CT,3.6616666666666666,2022-04-01
CT,3.120967741935484,2019-05-01
CT,3.4080645161290324,2020-05-01
CT,3.153225806451613,2021-05-01
CT,3.185483870967742,2022-05-01
CT,2.6616666666666666,2019-06-01
CT,2.58,2020-06-01
CT,2.6016666666666666,2021-06-01
CT,2.6166666666666667,2022-06-01
CT,2.261290322580645,2019-07-01
CT,2.4064516129032256,2020-07-01
CT,2.3225806451612905,2021-07-01
CT,2.574193548387097,2022-07-01
CT,2.240322580645161,2019-08-01
CT,2.411290322580645,2020-08-01
CT,2.208064516129032,2021-08-01
CT,2.3499999999999996,2022-08-01
CT,2.438333333333333,2019-09-01
CT,2.73,2020-09-01
CT,2.645,2021-09-01
CT,2.385,2022-09-01
CT,3.2,2019-10-01
CT,2.6370967741935485,2020-10-01
CT,2.5483870967741935,2021-10-01
CT,2.7903225806451615,2022-10-01
CT,3.0633333333333335,2019-11-01
CT,2.871666666666667,2020-11-01
CT,2.368333333333333,2021-11-01
CT,3.1533333333333338,2022-11-01
CT,2.9919354838709675,2019-12-01
CT,3.238709677419355,2020-12-01
CT,2.5661290322580643,2021-12-01
CT,3.3193548387096774,2022-12-01
DE,4.429032258064517,2019-01-01
DE,3.825806451612903,2020-01-01
DE,3.948387096774194,2021-01-01
DE,4.316129032258065,2022-01-01
DE,3.867857142857143,2019-02-01
DE,3.6241379310344826,2020-02-01
DE,4.292857142857143,2021-02-01
DE,4.160714285714286,2022-02-01
DE,4.506451612903225,2019-03-01
DE,4.006451612903226,2020-03-01
DE,4.261290322580645,2021-03-01
DE,4.535483870967742,2022-03-01
DE,4.486666666666666,2019-04-01
DE,4.95,2020-04-01
DE,4.306666666666667,2021-04-01
DE,4.848275862068966,2022-04-01
DE,3.8,2019-05-01
DE,4.270967741935484,2020-05-01
DE,3.670967741935484,2021-05-01
DE,3.958064516129032,2022-05-01
DE,3.74,2019-06-01
DE,3.506666666666667,2020-06-01
DE,3.2933333333333334,2021-06-01
DE,3.3766666666666665,2022-06-01
DE,2.7580645161290325,2019-07-01
DE,3.1933333333333334,2020-07-01
DE,2.9645161290322584,2021-07-01
DE,3.174193548387097,2022-07-01
DE,2.8129032258064517,2019-08-01
DE,2.9419354838709677,2020-08-01
DE,3.009677419354839,2021-08-01
DE,3.2193548387096773,2022-08-01
DE,3.1,2019-09-01
DE,3.0366666666666666,2020-09-01
DE,3.546666666666667,2021-09-01
DE,3.44,2022-09-01
DE,3.9612903225806453,2019-10-01
DE,3.193548387096774,2020-10-01
DE,3.5032258064516126,2021-10-01
DE,3.42258064516129,2022-10-01
DE,3.6966666666666663,2019-11-01
DE,3.4066666666666667,2020-11-01
DE,3.3666666666666667,2021-11-01
DE,3.79,2022-11-01
DE,3.5612903225806454,2019-12-01
DE,4.090322580645161,2020-12-01
DE,3.1516129032258067,2021-12-01
DE,3.5433333333333334,2022-12-01
FL,3.762903225806452,2019-01-01
FL,3.6580645161290324,2020-01-01
FL,3.5258064516129033,2021-01-01
FL,3.769354838709677,2022-01-01
FL,3.435714285714286,2019-02-01
FL,4.210344827586207,2020-02-01
FL,3.925,2021-02-01
FL,3.307142857142857,2022-02-01
FL,3.5354838709677416,2019-03-01
FL,3.796774193548387,2020-03-01
FL,3.8403225806451613,2021-03-01
FL,4.211290322580646,2022-03-01
FL,3.8533333333333335,2019-04-01
FL,4.293333333333334,2020-04-01
FL,3.6450000000000005,2021-04-01
FL,4.098333333333334,2022-04-01
FL,3.3,2019-05-01
FL,3.703225806451613,2020-05-01
FL,3.8483870967741938,2021-05-01
FL,3.3806451612903223,2022-05-01
FL,3.43,2019-06-01
FL,3.17,2020-06-01
FL,3.5383333333333336,2021-06-01
FL,3.0566666666666666,2022-06-01
FL,2.7161290322580647,2019-07-01
FL,3.3080645161290323,2020-07-01
FL,3.0048387096774194,2021-07-01
FL,2.7112903225806453,2022-07-01
