state,value,date
AZ,0.4010320182388905,2022-01-01
AZ,1.258925561834192,2018-02-01
AZ,2.7693637354032417,2019-02-01
AZ,1.1849362940314188,2020-02-01
AZ,0.2099325239977414,2021-02-01
AZ,0.4861989795918367,2022-02-01
AZ,0.2393229314313752,2018-03-01
AZ,0.825816763724234,2019-03-01
AZ,2.1907445694402217,2020-03-01
AZ,0.6841638455824992,2021-03-01
AZ,0.5478676678627591,2022-03-01
AZ,0.014362745098039214,2018-04-01
AZ,0.1728757279672611,2019-04-01
AZ,0.4146839211513125,2020-04-01
AZ,0.12575223598211213,2021-04-01
AZ,0.006333333333333333,2022-04-01
AZ,0.14311195445920305,2018-05-01
AZ,0.713559125802872,2019-05-01
AZ,0.06540497137271331,2020-05-01
AZ,0.03410016977928692,2021-05-01
AZ,0.0,2022-05-01
AZ,0.534256464281619,2018-06-01
AZ,0.09583506471492739,2019-06-01
AZ,0.030873015873015868,2020-06-01
AZ,0.14711227563859144,2021-06-01
AZ,0.7240594132389798,2022-06-01
AZ,2.8926227892023824,2018-07-01
AZ,0.961997988092081,2019-07-01
AZ,0.9285531020901213,2020-07-01
AZ,4.679953401449563,2021-07-01
AZ,2.1610526109880484,2022-07-01
AZ,2.2432967710393577,2018-08-01
AZ,1.391363194313294,2019-08-01
AZ,0.8531434535380058,2020-08-01
AZ,2.454698952532421,2021-08-01
AZ,3.4301314002631638,2022-08-01
AZ,0.9847798990941407,2018-09-01
AZ,1.8122807605480376,2019-09-01
AZ,0.13354401154401155,2020-09-01
AZ,1.456431221829277,2021-09-01
AZ,1.5123097838550625,2022-09-01
AZ,3.3550706618725474,2018-10-01
AZ,0.00807753957122821,2019-10-01
AZ,0.09916273534786857,2020-10-01
AZ,0.7170188855090678,2021-10-01
AZ,1.1885214221512035,2022-10-01
